continent,location,date,population,new_vaccinations,rolling_vaccinations
Asia,Afghanistan,22/8/2020,38928341,,0
Asia,Afghanistan,23/8/2020,38928341,,0
Asia,Afghanistan,24/8/2020,38928341,,0
Asia,Afghanistan,25/8/2020,38928341,,0
Asia,Afghanistan,26/8/2020,38928341,,0
Asia,Afghanistan,27/8/2020,38928341,,0
Asia,Afghanistan,28/8/2020,38928341,,0
Asia,Afghanistan,29/8/2020,38928341,,0
Asia,Afghanistan,30/8/2020,38928341,,0
Asia,Afghanistan,31/8/2020,38928341,,0
Asia,Afghanistan,1/9/2020,38928341,,0
Asia,Afghanistan,2/9/2020,38928341,,0
Asia,Afghanistan,3/9/2020,38928341,,0
Asia,Afghanistan,4/9/2020,38928341,,0
Asia,Afghanistan,5/9/2020,38928341,,0
Asia,Afghanistan,6/9/2020,38928341,,0
Asia,Afghanistan,7/9/2020,38928341,,0
Asia,Afghanistan,8/9/2020,38928341,,0
Asia,Afghanistan,9/9/2020,38928341,,0
Asia,Afghanistan,10/9/2020,38928341,,0
Asia,Afghanistan,11/9/2020,38928341,,0
Asia,Afghanistan,12/9/2020,38928341,,0
Asia,Afghanistan,13/9/2020,38928341,,0
Asia,Afghanistan,14/9/2020,38928341,,0
Asia,Afghanistan,15/9/2020,38928341,,0
Asia,Afghanistan,16/9/2020,38928341,,0
Asia,Afghanistan,17/9/2020,38928341,,0
Asia,Afghanistan,18/9/2020,38928341,,0
Asia,Afghanistan,19/9/2020,38928341,,0
Asia,Afghanistan,20/9/2020,38928341,,0
Asia,Afghanistan,21/9/2020,38928341,,0
Asia,Afghanistan,22/9/2020,38928341,,0
Asia,Afghanistan,23/9/2020,38928341,,0
Asia,Afghanistan,24/9/2020,38928341,,0
Asia,Afghanistan,25/9/2020,38928341,,0
Asia,Afghanistan,26/9/2020,38928341,,0
Asia,Afghanistan,27/9/2020,38928341,,0
Asia,Afghanistan,28/9/2020,38928341,,0
Asia,Afghanistan,29/9/2020,38928341,,0
Asia,Afghanistan,30/9/2020,38928341,,0
Asia,Afghanistan,1/10/2020,38928341,,0
Asia,Afghanistan,2/10/2020,38928341,,0
Asia,Afghanistan,3/10/2020,38928341,,0
Asia,Afghanistan,4/10/2020,38928341,,0
Asia,Afghanistan,5/10/2020,38928341,,0
Asia,Afghanistan,6/10/2020,38928341,,0
Asia,Afghanistan,7/10/2020,38928341,,0
Asia,Afghanistan,8/10/2020,38928341,,0
Asia,Afghanistan,9/10/2020,38928341,,0
Asia,Afghanistan,10/10/2020,38928341,,0
Asia,Afghanistan,11/10/2020,38928341,,0
Asia,Afghanistan,12/10/2020,38928341,,0
Asia,Afghanistan,13/10/2020,38928341,,0
Asia,Afghanistan,14/10/2020,38928341,,0
Asia,Afghanistan,15/10/2020,38928341,,0
Asia,Afghanistan,16/10/2020,38928341,,0
Asia,Afghanistan,17/10/2020,38928341,,0
Asia,Afghanistan,18/10/2020,38928341,,0
Asia,Afghanistan,19/10/2020,38928341,,0
Asia,Afghanistan,20/10/2020,38928341,,0
Asia,Afghanistan,21/10/2020,38928341,,0
Asia,Afghanistan,22/10/2020,38928341,,0
Asia,Afghanistan,23/10/2020,38928341,,0
Asia,Afghanistan,24/10/2020,38928341,,0
Asia,Afghanistan,25/10/2020,38928341,,0
Asia,Afghanistan,26/10/2020,38928341,,0
Asia,Afghanistan,27/10/2020,38928341,,0
Asia,Afghanistan,28/10/2020,38928341,,0
Asia,Afghanistan,29/10/2020,38928341,,0
Asia,Afghanistan,30/10/2020,38928341,,0
